1,negative
10,neutral
11,neutral
13,neutral
17,neutral
18,neutral
21,positive
24,neutral
29,positive
33,positive
34,negative
35,neutral
38,positive
39,neutral
45,neutral
49,positive
55,neutral
57,neutral
61,negative
65,neutral
71,positive
73,neutral
74,neutral
76,positive
77,positive
80,negative
83,positive
88,positive
92,neutral
94,neutral
95,positive
98,neutral
102,neutral
104,neutral
111,mixed
123,positive
125,positive
127,neutral
129,positive
136,positive
140,positive
143,neutral
146,neutral
153,neutral
156,positive
164,positive
166,neutral
168,positive
178,positive
182,positive
185,negative
186,neutral
202,negative
204,positive
208,positive
211,negative
214,neutral
217,positive
225,negative
226,negative
228,neutral
230,positive
233,neutral
234,neutral
236,mixed
238,positive
248,neutral
252,positive
263,positive
271,positive
286,positive
290,positive
293,positive
294,neutral
296,neutral
304,positive
307,neutral
312,neutral
325,positive
328,positive
331,negative
338,positive
340,positive
341,neutral
342,positive
354,neutral
355,neutral
356,positive
357,neutral
360,neutral
363,positive
366,neutral
367,negative
373,positive
377,positive
381,neutral
384,positive
387,positive
389,positive
390,positive
400,positive
401,mixed
412,positive
423,positive
425,positive
427,neutral
432,positive
435,positive
436,neutral
442,positive
444,positive
446,neutral
450,neutral
453,neutral
454,positive
456,neutral
460,positive
471,neutral
475,neutral
478,positive
480,positive
484,positive
485,positive
486,negative
488,positive
489,positive
491,positive
492,neutral
496,positive
501,positive
503,positive
504,positive
506,positive
509,positive
511,negative
516,neutral
521,mixed
522,positive
523,neutral
526,positive
528,positive
536,positive
537,positive
542,neutral
545,positive
549,neutral
551,positive
560,positive
562,positive
563,positive
564,positive
566,positive
570,neutral
572,positive
579,neutral
587,neutral
588,positive
589,positive
592,negative
596,positive
601,positive
607,negative
609,mixed
611,positive
613,negative
615,positive
616,negative
621,neutral
622,mixed
623,positive
625,positive
627,positive
631,neutral
633,neutral
638,neutral
639,positive
641,negative
642,neutral
646,negative
647,positive
650,positive
655,positive
658,neutral
672,neutral
691,mixed
693,positive
695,neutral
699,positive
703,neutral
708,positive
712,positive
718,neutral
721,positive
722,neutral
726,positive
727,neutral
728,positive
729,neutral
730,neutral
733,neutral
738,positive
744,positive
747,positive
751,neutral
756,positive
760,positive
761,positive
763,positive
766,positive
767,neutral
774,neutral
777,neutral
779,neutral
781,neutral
783,positive
789,positive
792,positive
794,positive
797,neutral
799,neutral
802,neutral
804,neutral
805,positive
813,neutral
817,negative
819,positive
820,positive
823,neutral
825,negative
833,neutral
835,neutral
836,negative
837,positive
838,neutral
841,negative
842,neutral
843,neutral
844,negative
846,positive
848,positive
849,neutral
850,neutral
852,neutral
857,positive
858,neutral
860,positive
862,positive
865,positive
866,neutral
871,neutral
872,positive
875,neutral
883,neutral
885,negative
889,neutral
891,neutral
892,neutral
897,negative
907,neutral
908,positive
909,positive
910,positive
912,positive
914,positive
916,positive
923,negative
924,positive
934,neutral
939,positive
940,neutral
947,positive
951,neutral
956,neutral
957,positive
958,negative
960,mixed
961,negative
963,neutral
970,neutral
972,positive
976,neutral
981,positive
986,neutral
988,neutral
992,mixed
993,neutral
994,neutral
995,neutral
997,negative
999,positive
1002,positive
